Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
0.00000	59.07938	144.09561	30.26730	33.50713	-0.01889	1.15335
0.50070	59.08170	144.09069	30.24054	33.41365	-0.01937	1.15116
1.00139	59.08400	144.08581	30.21350	33.32038	-0.01985	1.14897
1.50209	59.08630	144.08096	30.18617	33.22730	-0.02035	1.14677
2.00278	59.08859	144.07616	30.15854	33.13442	-0.02085	1.14457
2.50348	59.09086	144.07139	30.13062	33.04174	-0.02137	1.14237
3.00417	59.09313	144.06665	30.10239	32.94926	-0.02189	1.14016
3.50487	59.09539	144.06196	30.07387	32.85698	-0.02242	1.13794
4.00556	59.09764	144.05730	30.04505	32.76489	-0.02295	1.13572
4.50626	59.09988	144.05268	30.01592	32.67301	-0.02349	1.13349
5.00695	59.10211	144.04810	29.98649	32.58133	-0.02404	1.13125
5.50765	59.10433	144.04356	29.95675	32.48985	-0.02459	1.12901
6.00834	59.10654	144.03906	29.92670	32.39857	-0.02515	1.12676
6.50904	59.10873	144.03459	29.89634	32.30749	-0.02570	1.12450
7.00974	59.11092	144.03017	29.86567	32.21662	-0.02626	1.12223
7.51043	59.11310	144.02578	29.83470	32.12595	-0.02683	1.11996
8.01113	59.11526	144.02143	29.80341	32.03548	-0.02739	1.11767
8.51182	59.11741	144.01712	29.77181	31.94522	-0.02795	1.11537
9.01252	59.11955	144.01285	29.73990	31.85516	-0.02851	1.11307
9.51321	59.12168	144.00862	29.70768	31.76531	-0.02907	1.11075
10.01391	59.12380	144.00443	29.67515	31.67566	-0.02963	1.10841
10.51460	59.12590	144.00028	29.64230	31.58621	-0.03019	1.10607
11.01530	59.12799	143.99616	29.60915	31.49697	-0.03074	1.10371
11.51599	59.13007	143.99209	29.57569	31.40794	-0.03129	1.10134
12.01669	59.13214	143.98805	29.54192	31.31911	-0.03183	1.09895
12.51739	59.13419	143.98405	29.50784	31.23048	-0.03237	1.09655
13.01808	59.13623	143.98009	29.47345	31.14206	-0.03291	1.09413
13.51878	59.13825	143.97617	29.43876	31.05385	-0.03343	1.09170
14.01947	59.14027	143.97229	29.40376	30.96584	-0.03395	1.08925
14.52017	59.14226	143.96845	29.36846	30.87804	-0.03446	1.08678
15.02086	59.14425	143.96464	29.33285	30.79044	-0.03496	1.08430
15.52156	59.14621	143.96087	29.29694	30.70305	-0.03545	1.08179
16.02225	59.14817	143.95715	29.26073	30.61586	-0.03593	1.07927
16.52295	59.15011	143.95346	29.22422	30.52888	-0.03640	1.07673
17.02364	59.15203	143.94980	29.18741	30.44211	-0.03686	1.07417
17.52434	59.15394	143.94619	29.15030	30.35555	-0.03731	1.07159
18.02503	59.15583	143.94261	29.11290	30.26919	-0.03774	1.06899
18.52573	59.15771	143.93907	29.07520	30.18303	-0.03816	1.06637
19.02643	59.15957	143.93557	29.03721	30.09708	-0.03857	1.06372
19.52712	59.16142	143.93211	28.99892	30.01134	-0.03896	1.06106
20.02782	59.16325	143.92869	28.96035	29.92581	-0.03934	1.05838
20.52851	59.16506	143.92530	28.92148	29.84048	-0.03970	1.05567
21.02921	59.16686	143.92196	28.88233	29.75536	-0.04004	1.05294
21.52990	59.16864	143.91865	28.84289	29.67045	-0.04036	1.05019
22.03060	59.17041	143.91538	28.80316	29.58575	-0.04067	1.04742
22.53129	59.17215	143.91215	28.76315	29.50125	-0.04096	1.04463
23.03199	59.17388	143.90896	28.72284	29.41696	-0.04123	1.04181
23.53268	59.17560	143.90580	28.68225	29.33288	-0.04147	1.03898
24.03338	59.17730	143.90269	28.64138	29.24900	-0.04170	1.03612
24.53408	59.17898	143.89961	28.60021	29.16533	-0.04190	1.03324
25.03477	59.18064	143.89658	28.55875	29.08187	-0.04208	1.03035
25.53547	59.18228	143.89359	28.51700	28.99862	-0.04224	1.02743
26.03616	59.18391	143.89064	28.47495	28.91557	-0.04237	1.02449
26.53686	59.18552	143.88773	28.43259	28.83272	-0.04248	1.02154
27.03755	59.18711	143.88486	28.38992	28.75008	-0.04256	1.01857
27.53825	59.18869	143.88204	28.34693	28.66764	-0.04262	1.01558
28.03894	59.19025	143.87926	28.30361	28.58540	-0.04264	1.01258
28.53964	59.19179	143.87653	28.25994	28.50337	-0.04264	1.00956
29.04033	59.19331	143.87384	28.21591	28.42153	-0.04261	1.00654
29.54103	59.19482	143.87120	28.17150	28.33989	-0.04254	1.00351
30.04172	59.19631	143.86862	28.12668	28.25845	-0.04245	1.00047
30.54242	59.19778	143.86609	28.08142	28.17721	-0.04231	0.99744
31.04312	59.19924	143.86362	28.03568	28.09616	-0.04215	0.99441
31.54381	59.20068	143.86121	27.98942	28.01530	-0.04194	0.99138
32.04451	59.20211	143.85886	27.94259	27.93464	-0.04170	0.98838
32.54520	59.20353	143.85659	27.89512	27.85417	-0.04142	0.98539
33.04590	59.20493	143.85439	27.84696	27.77390	-0.04109	0.98244
33.54659	59.20632	143.85227	27.79804	27.69382	-0.04072	0.97952
34.04729	59.20770	143.85024	27.74831	27.61394	-0.04031	0.97664
34.54798	59.20906	143.84831	27.69775	27.53428	-0.03984	0.97382
35.04868	59.21041	143.84647	27.64641	27.45483	-0.03934	0.97103
35.54937	59.21174	143.84472	27.59443	27.37563	-0.03879	0.96826
36.05007	59.21305	143.84305	27.54200	27.29669	-0.03820	0.96550
36.55076	59.21431	143.84145	27.48947	27.21695	-0.03755	0.96217
37.05146	59.21554	143.83988	27.43710	27.13739	-0.03687	0.95869
37.55216	59.21674	143.83831	27.38494	27.05801	-0.03617	0.95507
38.05285	59.21791	143.83676	27.33304	26.97885	-0.03545	0.95128
38.55355	59.21906	143.83522	27.28145	26.89992	-0.03469	0.94734
39.05424	59.22017	143.83368	27.23022	26.82123	-0.03392	0.94324
39.55494	59.22125	143.83214	27.17938	26.74281	-0.03311	0.93898
40.05563	59.22230	143.83061	27.12898	26.66467	-0.03228	0.93455
40.55633	59.22332	143.82906	27.07902	26.58685	-0.03143	0.92996
41.05702	59.22430	143.82751	27.02954	26.50935	-0.03054	0.92521
41.55772	59.22526	143.82595	26.98056	26.43219	-0.02964	0.92030
42.05841	59.22617	143.82439	26.93209	26.35538	-0.02870	0.91524
42.55911	59.22706	143.82281	26.88414	26.27895	-0.02774	0.91004
43.05981	59.22791	143.82122	26.83671	26.20290	-0.02676	0.90470
43.56050	59.22873	143.81961	26.78981	26.12725	-0.02575	0.89923
44.06120	59.22950	143.81800	26.74343	26.05201	-0.02471	0.89364
44.56189	59.23025	143.81637	26.69758	25.97720	-0.02365	0.88794
45.06259	59.23096	143.81474	26.65224	25.90284	-0.02257	0.88215
45.56328	59.23163	143.81310	26.60741	25.82893	-0.02146	0.87627
46.06398	59.23226	143.81145	26.56312	25.75551	-0.02033	0.87031
