Proj	DSO	DDO	UOffset	VOffset	Pivot	dTeta
0.00000	57.57120	140.45470	28.68171	-61.51913	0.08912	1.75678
0.50070	57.57295	140.45274	28.65458	-61.59944	0.08087	1.74963
1.00139	57.57555	140.44917	28.59573	-61.83485	0.08722	1.72842
1.50209	57.57725	140.44693	28.57000	-61.90977	0.07891	1.72124
2.00278	57.57970	140.44257	28.51730	-62.12974	0.08509	1.70004
2.50348	57.58134	140.44008	28.49293	-62.19972	0.07674	1.69291
3.00417	57.58361	140.43499	28.44626	-62.40530	0.08276	1.67190
3.50487	57.58519	140.43226	28.42322	-62.47052	0.07437	1.66487
4.00556	57.58730	140.42646	28.38242	-62.66199	0.08026	1.64421
4.50626	57.58883	140.42349	28.36062	-62.72236	0.07184	1.63731
5.00695	57.59083	140.41698	28.32538	-62.89922	0.07760	1.61707
5.50765	57.59233	140.41378	28.30470	-62.95442	0.06915	1.61031
6.00834	57.59427	140.40654	28.27471	-63.11549	0.07481	1.59045
6.50904	57.59576	140.40309	28.25510	-63.16507	0.06633	1.58378
7.00974	57.59764	140.39510	28.23030	-63.30921	0.07185	1.56409
7.51043	57.59908	140.39138	28.21186	-63.35317	0.06335	1.55741
8.01113	57.60068	140.38262	28.19297	-63.48245	0.06870	1.53752
8.51182	57.60186	140.37873	28.17641	-63.52439	0.06016	1.53068
9.01252	57.60241	140.36992	28.16606	-63.65930	0.06539	1.51083
9.51321	57.60329	140.36595	28.15120	-63.70565	0.05692	1.50528
10.01391	57.60352	140.35629	28.14411	-63.84373	0.06237	1.49047
10.51460	57.60456	140.35210	28.12763	-63.88685	0.05399	1.48647
11.01530	57.60551	140.34229	28.11523	-64.01449	0.05961	1.47600
11.51599	57.60688	140.33845	28.09498	-64.05360	0.05132	1.47331
12.01669	57.60888	140.33031	28.07301	-64.16906	0.05707	1.46664
12.51739	57.61057	140.32729	28.04913	-64.20427	0.04882	1.46521
13.01808	57.61336	140.32143	28.01958	-64.30932	0.05458	1.46219
13.51878	57.61520	140.31892	27.99329	-64.34175	0.04635	1.46197
14.01947	57.61832	140.31408	27.95864	-64.43893	0.05202	1.46285
14.52017	57.62020	140.31171	27.92958	-64.46873	0.04381	1.46419
15.02086	57.62348	140.30728	27.88845	-64.55839	0.04940	1.46967
15.52156	57.62544	140.30519	27.85727	-64.58613	0.04121	1.47231
16.02225	57.62895	140.30172	27.81437	-64.67086	0.04672	1.48106
16.52295	57.63096	140.30003	27.78350	-64.69775	0.03855	1.48447
17.02364	57.63468	140.29797	27.74459	-64.78153	0.04403	1.49474
17.52434	57.63687	140.29704	27.71470	-64.80911	0.03591	1.49822
18.02503	57.64147	140.29775	27.68033	-64.89619	0.04143	1.50818
18.52573	57.64411	140.29792	27.65108	-64.92552	0.03340	1.51124
19.02643	57.65014	140.30151	27.61941	-65.01789	0.03907	1.51982
19.52712	57.65319	140.30225	27.58990	-65.04893	0.03118	1.52248
20.02782	57.66006	140.30679	27.55836	-65.14638	0.03710	1.52982
20.52851	57.66313	140.30748	27.52751	-65.17931	0.02937	1.53190
21.02921	57.66973	140.31135	27.49299	-65.28284	0.03559	1.53706
21.52990	57.67250	140.31155	27.46043	-65.31836	0.02802	1.53806
22.03060	57.67796	140.31372	27.42334	-65.43098	0.03449	1.53937
22.53129	57.68025	140.31329	27.38984	-65.47025	0.02705	1.53874
23.03199	57.68434	140.31344	27.35243	-65.59397	0.03369	1.53492
23.53268	57.68621	140.31225	27.31850	-65.63666	0.02634	1.53245
24.03338	57.68911	140.30978	27.28117	-65.76889	0.03299	1.52351
24.53408	57.69046	140.30744	27.24638	-65.81348	0.02569	1.51967
25.03477	57.69160	140.30106	27.20794	-65.94972	0.03225	1.50747
25.53547	57.69234	140.29722	27.17211	-65.99470	0.02499	1.50292
26.03616	57.69195	140.28673	27.13174	-66.13067	0.03148	1.48913
26.53686	57.69232	140.28185	27.09407	-66.17484	0.02428	1.48443
27.03755	57.69109	140.26903	27.04922	-66.30705	0.03067	1.47094
27.53825	57.69130	140.26386	27.00909	-66.34913	0.02351	1.46675
28.03894	57.68983	140.25072	26.95805	-66.47407	0.02979	1.45515
28.53964	57.69004	140.24571	26.91525	-66.51338	0.02267	1.45171
29.04033	57.68872	140.23350	26.85830	-66.63087	0.02888	1.44241
29.54103	57.68907	140.22918	26.81298	-66.66849	0.02184	1.43974
30.04172	57.68853	140.21982	26.74970	-66.78206	0.02804	1.43261
30.54242	57.68932	140.21696	26.70132	-66.81859	0.02110	1.43072
31.04312	57.69003	140.21193	26.62987	-66.92883	0.02739	1.42603
31.54381	57.69109	140.21018	26.57828	-66.96409	0.02060	1.42492
32.04451	57.69229	140.20732	26.50089	-67.07000	0.02703	1.42206
32.54520	57.69333	140.20577	26.44806	-67.10364	0.02036	1.42127
33.04590	57.69431	140.20311	26.36997	-67.20500	0.02683	1.41896
33.54659	57.69516	140.20157	26.31693	-67.23768	0.02025	1.41813
34.04729	57.69551	140.19870	26.24017	-67.33789	0.02660	1.41537
34.54798	57.69615	140.19690	26.18731	-67.37133	0.02003	1.41413
35.04868	57.69607	140.19298	26.11345	-67.47600	0.02610	1.40940
35.54937	57.69664	140.19076	26.06158	-67.51190	0.01955	1.40709
36.05007	57.69644	140.18570	25.99255	-67.62345	0.02542	1.39897
36.55076	57.69700	140.18325	25.94177	-67.66115	0.01893	1.39550
37.05146	57.69699	140.17793	25.87690	-67.77687	0.02474	1.38413
37.55216	57.69769	140.17560	25.82683	-67.81566	0.01837	1.37971
38.05285	57.69813	140.17056	25.76608	-67.93530	0.02425	1.36591
38.55355	57.69898	140.16836	25.71760	-67.97578	0.01803	1.36091
39.05424	57.69989	140.16423	25.66359	-68.10005	0.02409	1.34575
39.55494	57.70087	140.16281	25.61702	-68.14148	0.01804	1.34053
40.05563	57.70215	140.16161	25.57000	-68.26674	0.02422	1.32538
40.55633	57.70318	140.16133	25.52518	-68.30760	0.01832	1.32053
41.05702	57.70446	140.16293	25.48413	-68.42991	0.02459	1.30668
41.55772	57.70534	140.16315	25.44045	-68.46935	0.01886	1.30225
42.05841	57.70617	140.16566	25.40332	-68.58679	0.02530	1.28971
42.55911	57.70695	140.16604	25.36025	-68.62422	0.01975	1.28583
43.05981	57.70763	140.16866	25.32561	-68.73501	0.02635	1.27531
43.56050	57.70841	140.16881	25.28276	-68.76991	0.02095	1.27234
44.06120	57.70921	140.17023	25.25090	-68.87350	0.02759	1.26448
44.56189	57.71004	140.16978	25.20911	-68.90644	0.02230	1.26222
45.06259	57.71098	140.16932	25.18276	-69.00510	0.02888	1.25602
45.56328	57.71179	140.16837	25.14315	-69.03714	0.02367	1.25405
46.06398	57.71249	140.16676	25.12498	-69.13593	0.03004	1.24779
46.56467	57.71312	140.16554	25.08753	-69.16973	0.02487	1.24523
47.06537	57.71345	140.16311	25.07555	-69.27573	0.03097	1.23619
47.56606	57.71404	140.16155	25.03908	-69.31265	0.02584	1.23213
48.06676	57.71427	140.15771	25.02959	-69.42814	0.03168	1.21785
48.56745	57.71479	140.15562	24.99254	-69.46815	0.02662	1.21175
49.06815	57.71481	140.15035	24.98124	-69.59164	0.03229	1.19166
49.56885	57.71518	140.14796	24.94330	-69.63357	0.02730	1.18381
